Date,Site,Set,Time,Number,Species,Length
2022-06-10,Old Orchard,1,9:00,15,Bay Pipefish,"150, 170"
2022-06-10,Old Orchard,1,9:00,1,Sharpnose Sculpin,
2022-06-10,Old Orchard,1,9:00,67,Staghorn Sculpin,"45, 110, 60, 70, 35"
2022-06-10,Old Orchard,1,9:00,12,Starry Flounder,45
2022-06-10,Old Orchard,1,9:00,15,Arrow Goby,50
2022-06-10,Old Orchard,1,9:00,2,Cutthroat Trout,"130, 150"
2022-06-10,Old Orchard,1,9:00,1,Three-Spined Stickleback,55
2022-06-10,Old Orchard,1,9:00,1,Pink Salmon,80
2022-06-10,Old Orchard,1,9:00,1,Saddleback Gunnel,40
2022-06-10,Old Orchard,1,9:00,1,Crescent Gunnel,40
2022-06-10,Old Orchard,1,9:00,1,Shiner Perch,40
2022-06-10,Dockrill,1,10:15,1,Plainfin Midshipman,240
2022-06-10,Dockrill,1,10:15,6,Staghorn Sculpin,"110, 160, 75"
2022-06-10,Dockrill,1,10:15,85,Shiner Perch,"90, 105, 110"
2022-06-10,Dockrill,1,10:15,4,Bay Pipefish,"160, 150"
2022-06-10,Dockrill,2,10:40,76,Shiner Perch,85
2022-06-10,Dockrill,2,10:40,9,Staghorn Sculpin,115
2022-06-10,Barnett,1,11:30,1,Shiner Perch,85
2022-06-10,Barnett,1,11:30,2,Starry Flounder,"210, 105"
2022-06-10,Barnett,1,11:30,5,Staghorn Sculpin,"115, 55"
2022-06-10,Barnett,1,11:30,1,Bay Pipefish,140
2022-06-10,Barnett,1,11:30,1,Saddleback Gunnel,120
2022-06-10,Barnett,2,11:45,1,Bay Pipefish,145
2022-06-10,Barnett,2,11:45,2,Staghorn Sculpin,"65, 95"
2022-06-10,Slaughterhouse,1,13:05,49,Shiner Perch,"95, 95, 95"
2022-06-10,Slaughterhouse,1,13:05,77,Staghorn Sculpin,"125, 65, 65, 65, 65, 65 75, 50"
2022-06-10,Slaughterhouse,1,13:05,1,Three-Spined Stickleback,55
2022-06-10,Slaughterhouse,1,13:05,7,Starry Flounder,"50, 50, 50, 50, 50, 50, 55"
2022-06-10,Slaughterhouse,1,13:05,4,Arrow Goby,40
2022-06-10,Reed Point,1,14:05,2,Pile Perch,"200, 220"
2022-06-10,Reed Point,1,14:05,3,Northern Anchovy,"100, 90"
2022-06-10,Reed Point,1,14:05,19,Three-Spined Stickleback,"55, 65"
2022-06-10,Reed Point,1,14:05,72,Shiner Perch,"75, 70"
2022-06-10,Reed Point,1,14:05,1,Staghorn Sculpin,30
2022-06-24,Reed Point,1,8:45,33,Shiner Perch,"100, 88, 83, 95"
2022-06-24,Reed Point,1,8:45,5,Three-Spined Stickleback,"55, 15, 10, 20, 20"
2022-06-24,Reed Point,1,8:45,5,Bay Pipefish,"130, 140, 110"
2022-06-24,Reed Point,1,8:45,1,Tidepool Sculpin,55
2022-06-24,Reed Point,1,8:45,2,Sharpnose Sculpin,"15, 25"
2022-06-24,Reed Point,2,9:05,2,Shiner Perch,"107, 34"
2022-06-24,Reed Point,2,9:05,5,Bay Pipefish,"127, 140, 141, 160"
2022-06-24,Reed Point,2,9:05,6,Sharpnose Sculpin,"80, 15, 15, 15, 15, 10"
2022-06-24,Old Orchard,1,9:30,1,Shiner Perch,85
2022-06-24,Old Orchard,1,9:30,15,Staghorn Sculpin,"65, 110, 70, 68"
2022-06-24,Old Orchard,1,9:30,17,Starry Flounder,"61, 46, 51, 25, 40, 25, 15, 20, 25"
2022-06-24,Old Orchard,1,9:30,20,Arrow Goby,"44, 35, 42, 42, 44, 45, 40"
2022-06-24,Old Orchard,1,9:30,6,Saddleback Gunnel,"40, 45, 31"
2022-06-24,Old Orchard,2,9:45,1,Saddleback Gunnel,60
2022-06-24,Old Orchard,2,9:45,1,Crescent Gunnel,40
2022-06-24,Old Orchard,2,9:45,41,Staghorn Sculpin,"40, 63, 50, 49, 73, 45, 63"
2022-06-24,Old Orchard,2,9:45,19,Arrow Goby,"43, 40, 40, 45"
2022-06-24,Old Orchard,2,9:45,3,Starry Flounder,"28, 30"
2022-06-24,Old Orchard,2,9:45,1,Three-Spined Stickleback,30
2022-06-24,Dockrill,1,10:15,33,Staghorn Sculpin,"101, 87, 75, 71, 74, 64, 52, 74, 78, 78, 65, 87"
2022-06-24,Dockrill,2,10:40,1,Shiner Perch,100
2022-06-24,Dockrill,2,10:40,8,Staghorn Sculpin,"48, 64, 60, 90 76"
2022-06-24,Dockrill,2,10:40,1,Starry Flounder,45
2022-06-24,Dockrill,2,10:40,1,Arrow Goby,35
2022-06-24,Barnett,1,12:10,1,Coho Salmon,96
2022-06-24,Barnett,1,12:10,9,Shiner Perch,"90, 90, 90, 85"
2022-06-24,Barnett,1,12:10,4,Staghorn Sculpin,"85, 80, 75, 70"
2022-06-24,Barnett,1,12:10,2,Cutthroat Trout,"125, 185"
2022-06-24,Barnett,1,12:10,1,Starry Flounder,135
2022-06-24,Barnett,2,12:30,496,Shiner Perch,"90, 90, 85, 80, 105, 105, 98, 35"
2022-06-24,Barnett,2,12:30,4,Rainbow Trout,"185, 85, 150, 95"
2022-06-24,Barnett,2,12:30,2,Cutthroat Trout,"100, 115"
2022-06-24,Barnett,2,12:30,4,Sharpnose Sculpin,"35, 32"
2022-06-24,Slaughterhouse,1,13:45,10,Staghorn Sculpin,"90, 25, 85, 63, 85, 50, 83, 55, 80, 80"
2022-06-24,Slaughterhouse,1,13:45,1,Three-Spined Stickleback,55
2022-06-24,Slaughterhouse,1,13:45,2,Arrow Goby,"50, 48"
2022-06-24,Slaughterhouse,2,14:00,22,Staghorn Sculpin,"67, 98, 78, 75, 75, 83, 88, 70, 49"
2022-06-24,Slaughterhouse,2,14:00,3,Three-Spined Stickleback,"60, 60, 65"
2022-07-11,Old Orchard,1,9:10,3,Bay Pipefish,"115, 170, 146"
2022-07-11,Old Orchard,1,9:10,6,Staghorn Sculpin,"105, 115, 103, 100, 125, 70"
2022-07-11,Old Orchard,1,9:10,19,Starry Flounder,"60, 30, 60, 40, 55, 70, 30, 40"
2022-07-11,Old Orchard,1,9:10,22,Arrow Goby,"40 45, 40, 40, 55, 20, 21, 17, 44"
2022-07-11,Old Orchard,1,9:10,3,Sharpnose Sculpin,"34, 36, 18"
2022-07-11,Old Orchard,1,9:10,3,Three-Spined Stickleback,"60, 53, 12"
2022-07-11,Old Orchard,1,9:10,2,Shiner Perch,28
2022-07-11,Old Orchard,1,9:10,1,Saddleback Gunnel,42
2022-07-11,Dockrill,1,10:45,27,Staghorn Sculpin,"85, 140, 87, 90, 130, 100, 115, 90, 110, 100"
2022-07-11,Dockrill,1,10:45,9,Bay Pipefish,"195, 130, 140, 160, 165, 125, 130, 40, 130"
2022-07-11,Dockrill,1,10:45,28,Crescent Gunnel,"40, 55, 50, 55, 115"
2022-07-11,Dockrill,1,10:45,3,Saddleback Gunnel,"125, 50, 65"
2022-07-11,Dockrill,1,10:45,3,Sharpnose Sculpin,"30, 30, 30"
2022-07-11,Dockrill,1,10:45,1,Padded Sculpin,60
2022-07-11,Dockrill,1,10:45,54,Shiner Perch,"40, 40, 40, 35, 40, 35, 35, 45"
2022-07-11,Dockrill,1,10:45,1,Starry Flounder,35
2022-07-11,Dockrill,1,10:45,1,Penpoint Gunnel,40
2022-07-11,Dockrill,2,11:30,35,Staghorn Sculpin,"95, 150, 60, 150"
2022-07-11,Dockrill,2,11:30,1,Three-Spined Stickleback,60
2022-07-11,Dockrill,2,11:30,1,Shiner Perch,85
2022-07-11,Dockrill,2,11:30,3,Bay Pipefish,"195, 160, 165"
2022-07-11,Dockrill,2,11:30,3,Saddleback Gunnel,"42, 40"
2022-07-11,Reed Point,1,12:00,267,Shiner Perch,"33, 46, 132, 35, 40, 45, 40, 35, 45, 45, 90, 30, 45, 35, 40"
2022-07-11,Reed Point,1,12:00,2,C-O Sole,"100, 97"
2022-07-11,Reed Point,1,12:00,5,Starry Flounder,"86, 35, 105"
2022-07-11,Reed Point,1,12:00,13,Bay Pipefish,"140, 144, 143, 150, 141"
2022-07-11,Reed Point,1,12:00,22,Crescent Gunnel,"120, 127, 70, 46, 43"
2022-07-11,Reed Point,1,12:00,5,Three-Spined Stickleback,"60, 70, 65, 65, 60"
2022-07-11,Reed Point,1,12:00,1,Tidepool Sculpin,50
2022-07-11,Reed Point,1,12:00,10,Staghorn Sculpin,"84, 50, 76, 71, 77, 60, 57, 60, 55, 62"
2022-07-11,Reed Point,1,12:00,4,Arrow Goby,"45, 50, 45, 45"
2022-07-11,Reed Point,1,12:00,14,Sharpnose Sculpin,"72, 39, 66, 60, 70, 21, 32"
2022-07-11,Reed Point,1,12:00,3,Plainfin Midshipman,70
2022-07-11,Reed Point,2,12:35,192,Shiner Perch,
2022-07-11,Reed Point,2,12:35,4,Plainfin Midshipman,"77, 78, 52, 63"
2022-07-11,Reed Point,2,12:35,21,Staghorn Sculpin,
2022-07-11,Reed Point,2,12:35,1,Buffalo Sculpin,45
2022-07-11,Reed Point,2,12:35,1,Three-Spined Stickleback,
2022-07-11,Reed Point,2,12:35,1,Bay Pipefish,160
2022-07-11,Reed Point,2,12:35,2,Penpoint Gunnel,"65, 65"
2022-07-11,Reed Point,2,12:35,2,Saddleback Gunnel,"70, 60"
2022-07-11,Reed Point,2,12:35,5,Crescent Gunnel,"50, 60, 55, 55, 55"
2022-07-11,Barnett,1,1:45,46,Shiner Perch,"95, 95, 90, 115, 35, 95, 95, 40, 95, 95"
2022-07-11,Barnett,1,1:45,1,Staghorn Sculpin,64
2022-07-11,Barnett,1,1:45,1,Bay Pipefish,146
2022-07-11,Barnett,2,2:05,1,Cutthroat Trout,135
2022-07-11,Barnett,2,2:05,43,Shiner Perch,"90, 95, 44, 115, 95, 95, 90, 94, 93, 97, 85, 34, 32"
2022-07-11,Barnett,2,2:05,1,Staghorn Sculpin,146
2022-07-11,Barnett,2,2:05,1,Striped Perch,70
2022-07-11,Barnett,2,2:05,1,Tidepool Sculpin,32
2022-07-11,Slaughterhouse,1,2:45,71,Three-Spined Stickleback,"64, 64, 60, 61, 61, 62, 63, 58, 70, 60"
2022-07-11,Slaughterhouse,1,2:45,6,Arrow Goby,"30, 42, 40, 15, 12, 17"
2022-07-11,Slaughterhouse,1,2:45,4,Shiner Perch,70
2022-07-19,Slaughterhouse,1,9:00,3,Three-Spined Stickleback,"55, 75, 10"
2022-07-19,Slaughterhouse,1,9:00,214,Arrow Goby,"20, 25, 20, 27, 18, 30, 18, 20, 20, 25, 25, 16, 14, 15, 25, 20, 25, 25, 15, 18, 25, 21, 20"
2022-07-19,Slaughterhouse,2,9:30,600,Arrow Goby,
2022-07-19,Slaughterhouse,2,9:30,13,Three-Spined Stickleback,"10, 11, 6, 22, 11, 11, 12, 15, 14, 11, 10, 12, 15"
2022-07-19,Old Orchard,1,10:15,57,Shiner Perch,"44, 50, 48, 60, 45, 50, 66, 52, 60, 55, 48, 43, 50, 55, 48, 55, 45"
2022-07-19,Old Orchard,1,10:15,1,Starry Flounder,65
2022-07-19,Old Orchard,1,10:15,5,Three-Spined Stickleback,"65, 60, 65, 50, 20"
2022-07-19,Old Orchard,1,10:15,1,Staghorn Sculpin,72
2022-07-19,Old Orchard,1,10:15,41,Arrow Goby,"15, 12, 20, 14, 14, 14, 28, 27, 18"
2022-07-19,Old Orchard,2,10:50,3,Starry Flounder,"40, 30, 48"
2022-07-19,Old Orchard,2,10:50,327,Arrow Goby,"13, 20, 13, 17, 14, 17, 22, 16, 18, 18, 20, 20, 25, 19, 18, 18, 46, 50, 44, 40"
2022-07-19,Old Orchard,2,10:50,5,Three-Spined Stickleback,"14, 65, 18, 20, 25"
2022-07-19,Dockrill,1,11:30,3,Staghorn Sculpin,"104, 86, 110"
2022-07-19,Dockrill,1,11:30,16,Shiner Perch,"55, 43, 46, 46, 32, 55, 57, 60, 48, 60, 47, 40, 48, 65, 50, 43, 33"
2022-07-19,Dockrill,1,11:30,1,Three-Spined Stickleback,22
2022-07-19,Dockrill,1,11:30,1,Arrow Goby,18
2022-07-19,Dockrill,2,11:40,1,Shiner Perch,42
2022-07-19,Dockrill,2,11:40,27,Arrow Goby,"16, 13, 20, 14, 20, 15, 12"
2022-07-19,Barnett,1,12:20,4,Shiner Perch,"45, 40, 38, 45"
2022-07-19,Barnett,2,12:30,4,Shiner Perch,"92, 40, 37, 39"
2022-07-19,Barnett,2,12:30,4,Three-Spined Stickleback,"62, 62, 23, 20"
2022-07-19,Barnett,2,12:30,1,Staghorn Sculpin,95
2022-07-19,Barnett,2,12:30,1,Bay Pipefish,180
2022-07-19,Barnett,2,12:30,1,Arrow Goby,30
2022-07-19,Reed Point,1,13:30,23,Shiner Perch,"43, 43, 45, 38, 33, 40, 55, 38, 48, 50, 40, 60, 26, 38, 40, 50, 46, 46, 47, 58, 45, 36, 43"
2022-07-19,Reed Point,1,13:30,1,Chinook Salmon,86
2022-07-19,Reed Point,1,13:30,1,Saddleback Gunnel,98
2022-07-19,Reed Point,1,13:30,1,Sharpnose Sculpin,21
2022-07-19,Reed Point,2,13:50,33,Shiner Perch,"50, 41, 36, 40, 34, 40, 57, 33, 45, 43, 40, 43, 35, 30, 42, 36, 25, 32, 40"
2022-07-19,Reed Point,2,13:50,1,Three-Spined Stickleback,12
2022-08-08,Reed Point,1,8:45,2,Three-Spined Stickleback,"17, 55"
2022-08-08,Reed Point,1,8:45,1,Staghorn Sculpin,60
2022-08-08,Reed Point,1,8:45,2,Tidepool Sculpin,"37, 54"
2022-08-08,Reed Point,1,8:45,1,Arrow Goby,35
2022-08-08,Reed Point,1,8:45,6,Sharpnose Sculpin,"30, 30, 35, 26, 30, 31"
2022-08-08,Reed Point,1,8:45,2,Shiner Perch,"59, 54"
2022-08-08,Reed Point,1,8:45,4,Penpoint Gunnel,"51, 70, 75, 63"
2022-08-08,Reed Point,1,8:45,2,Plainfin Midshipman,"27, 30"
2022-08-08,Reed Point,1,8:45,3,Bay Pipefish,"134, 148, 149"
2022-08-08,Reed Point,2,9:15,6,Shiner Perch,"63, 50, 54, 59, 47, 65"
2022-08-08,Reed Point,2,9:15,1,Chinook Salmon,86
2022-08-08,Reed Point,2,9:15,1,Tidepool Sculpin,30
2022-08-08,Reed Point,2,9:15,2,Sharpnose Sculpin,"30, 20"
2022-08-08,Dockrill,1,9:30,1,Starry Flounder,180
2022-08-08,Dockrill,1,9:30,2,Plainfin Midshipman,"30, 31"
2022-08-08,Dockrill,1,9:30,1,Sharpnose Sculpin,40
2022-08-08,Dockrill,1,9:30,3,Bay Pipefish,"30, 40, 112"
2022-08-08,Dockrill,1,9:30,1,Staghorn Sculpin,97
2022-08-08,Dockrill,1,9:30,52,Arrow Goby,"20, 20, 21, 20, 20, 19, 25, 31, 32, 20"
2022-08-08,Dockrill,1,9:30,1,Saddleback Gunnel,55
2022-08-08,Dockrill,1,9:30,2,Three-Spined Stickleback,"15, 16"
2022-08-08,Dockrill,2,10:00,1,Staghorn Sculpin,36
2022-08-08,Dockrill,2,10:00,7,Bay Pipefish,"60, 99, 83, 103, 85, 75, 98"
2022-08-08,Dockrill,2,10:00,1,Staghorn Sculpin,132
2022-08-08,Dockrill,2,10:00,16,Arrow Goby,"38, 19"
2022-08-08,Dockrill,2,10:00,1,Three-Spined Stickleback,12
2022-08-08,Barnett,1,10:50,12,Shiner Perch,"58, 56, 55, 52, 58, 56, 56, 52, 53, 59, 50, 57"
2022-08-08,Barnett,1,10:50,4,Speckled Sanddab,"92, 105, 101, 87"
2022-08-08,Barnett,1,10:50,79,Shiner Perch,"51, 53, 57"
2022-08-08,Barnett,1,10:50,13,Staghorn Sculpin,"30, 45, 128, 157, 55, 41, 30, 86, 102, 58, 51, 46, 45, 141, 43"
2022-08-08,Barnett,1,10:50,2,Saddleback Gunnel,"141, 43"
2022-08-08,Barnett,1,10:50,2,Bay Pipefish,"71, 69"
2022-08-08,Barnett,1,10:50,3,Plainfin Midshipman,"52, 64, 30"
2022-08-08,Barnett,1,10:50,10,Arrow Goby,"13, 11, 11, 14, 12, 13"
2022-08-08,Barnett,1,10:50,3,Sharpnose Sculpin,"12, 16, 16"
2022-08-08,Barnett,2,11:30,1,Rainbow Trout,180
2022-08-08,Barnett,2,11:30,370,Shiner Perch,"51, 53, 57"
2022-08-08,Barnett,2,11:30,2,Cutthroat Trout,"102, 103"
2022-08-08,Barnett,2,11:30,2,Sharpnose Sculpin,"31, 32"
2022-08-08,Barnett,2,11:30,8,Three-Spined Stickleback,"22, 23, 19, 20, 18, 20"
2022-08-08,Barnett,2,11:30,1,Tidepool Sculpin,30
2022-08-08,Barnett,2,11:30,1,Staghorn Sculpin,115
2022-08-08,Barnett,2,11:30,1,Crescent Gunnel,63
2022-08-08,Old Orchard,1,13:20,1152,Arrow Goby,"45, 15, 16, 23, 23, 27, 29, 31, 31, 31, 47"
2022-08-08,Old Orchard,1,13:20,1,Eulachon,32
2022-08-08,Old Orchard,1,13:20,1,Starry Flounder,60
2022-08-08,Old Orchard,1,13:20,3,Sharpnose Sculpin,"12, 8, 11"
2022-08-08,Old Orchard,1,13:20,2,Three-Spined Stickleback,"12, 15"
2022-08-08,Old Orchard,1,13:20,1,Tidepool Sculpin,20
2022-08-08,Old Orchard,1,13:20,1,Staghorn Sculpin,80
2022-08-08,Old Orchard,2,13:50,1,Starry Flounder,100
2022-08-08,Old Orchard,2,13:50,5,Sharpnose Sculpin,"11, 26, 11, 20, 20"
2022-08-08,Old Orchard,2,13:50,5,Three-Spined Stickleback,"18, 9, 24, 11, 19"
2022-08-08,Old Orchard,2,13:50,1532,Arrow Goby,"11, 11, 15, 15, 16, 20, 23, 23, 26, 32, 35, 35"
2022-08-08,Slaughterhouse,2,14:30,3,Three-Spined Stickleback,"10, 10, 10"
2022-08-23,Old Orchard,1,8:45,5,Staghorn Sculpin,"95, 32, 30, 25, 33"
2022-08-23,Old Orchard,1,8:45,26,Northern Anchovy,"30, 35, 40, 38, 40, 37, 35, 28, 32, 34, 30, 28, 30, 25, 20, 30, 45, 15, 15"
2022-08-23,Old Orchard,1,8:45,14,Tidepool Sculpin,"11, 19, 25, 23, 14, 29, 22, 16, 18, 30, 21, 13, 26"
2022-08-23,Old Orchard,1,8:45,2,Three-Spined Stickleback,"15, 20"
2022-08-23,Old Orchard,1,8:45,1948,Arrow Goby,"14, 16, 17, 18, 20, 23, 25, 29, 29, 32, 32, 35, 37, 37"
2022-08-23,Old Orchard,1,8:45,1,Staghorn Sculpin,
2022-08-23,Old Orchard,2,9:45,94,Tidepool Sculpin,"20, 22, 15, 25, 8, 10, 30, 30, 30, 25, 10, 38, 30, 25, 25, 25, 20, 8, 8, 40, 20, 10, 10"
2022-08-23,Old Orchard,2,9:45,9,Three-Spined Stickleback,"28, 10, 13, 10, 12, 12"
2022-08-23,Old Orchard,2,9:45,1,Plainfin Midshipman,37
2022-08-23,Old Orchard,2,9:45,1281,Arrow Goby,
2022-08-23,Old Orchard,2,9:45,1,Northern Anchovy,
2022-08-23,Dockrill,1,10:30,3,Staghorn Sculpin,"102, 49, 47"
2022-08-23,Dockrill,1,10:30,2,Bay Pipefish,"94, 90"
2022-08-23,Dockrill,1,10:30,1,Penpoint Gunnel,78
2022-08-23,Dockrill,1,10:30,3,Saddleback Gunnel,"57, 60, 82"
2022-08-23,Dockrill,1,10:30,6,Three-Spined Stickleback,"13, 13, 13, 13, 13, 13"
2022-08-23,Dockrill,1,10:30,1,Sharpnose Sculpin,21
2022-08-23,Dockrill,1,10:30,1495,Arrow Goby,
2022-08-23,Dockrill,2,11:45,5,Staghorn Sculpin,"25, 10, 14, 14, 8"
2022-08-23,Dockrill,2,11:45,458,Arrow Goby,"11, 13, 17, 17, 17, 20, 20, 20, 20, 23, 23, 26, 26, 28, 33, 33"
2022-08-23,Reed Point,1,13:00,2,Shiner Perch,60
2022-08-23,Reed Point,1,13:00,3,Arrow Goby,"25, 20, 21"
2022-08-23,Reed Point,1,13:00,1,Three-Spined Stickleback,25
2022-08-23,Reed Point,2,13:10,3,Three-Spined Stickleback,"65, 28, 40"
2022-08-23,Reed Point,2,13:10,2,Shiner Perch,"76, 71"
2022-08-23,Reed Point,2,13:10,7,Arrow Goby,"25, 20, 23, 19, 18, 25, 20"
2022-08-23,Reed Point,2,13:10,1,Tidepool Sculpin,36
2022-08-23,Barnett,1,13:45,24,Shiner Perch,"50, 65, 92, 62, 110, 65, 60, 65, 58, 67, 100, 97, 60, 60, 48, 60, 58, 70"
2022-08-23,Barnett,1,13:45,1,Saddleback Gunnel,72
2022-08-23,Barnett,1,13:45,1,Starry Flounder,150
2022-08-23,Barnett,2,13:55,6,Shiner Perch,"70, 81, 48, 63, 59, 55"
2022-08-23,Barnett,2,13:55,1,Three-Spined Stickleback,25
2022-08-23,Slaughterhouse,1,14:20,1,Staghorn Sculpin,26
2022-08-23,Slaughterhouse,1,14:20,5,Three-Spined Stickleback,"12, 11, 10, 10, 12"
2022-08-23,Slaughterhouse,1,14:20,237,Northern Anchovy,"30, 35, 35, 35, 35, 39, 39, 40, 40, 41, 46, 48"
2022-08-23,Slaughterhouse,1,14:20,71,Arrow Goby,"24, 24, 20, 16, 16, 16, 16"
2022-08-23,Slaughterhouse,2,14:50,2,Staghorn Sculpin,"121, 78"
2022-08-23,Slaughterhouse,2,14:50,2161,Northern Anchovy,
2022-08-23,Slaughterhouse,2,14:50,323,Arrow Goby,
2022-08-23,Slaughterhouse,2,14:50,83,Three-Spined Stickleback,
