Penpoint Gunnel,Sharpnose Sculpin,Tidepool Sculpin,Crescent Gunnel,Saddleback Gunnel,Chum Salmon,Surf Smelt,Pink Salmon,Sand Lance,Chinook Salmon,Bay Pipefish,Starry Flounder,Cutthroat Trout,Three-Spined Stickleback,Coho Salmon,Staghorn Sculpin,Arrow Goby,Shiner Perch,Speckled Sanddab,Pacific Sand Lance,Plainfin Midshipman,Pile Perch,Northern Anchovy,Rainbow Trout,Padded Sculpin,C-O Sole,Buffalo Sculpin,Striped Perch,Eulachon,Code
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,100507S1
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,100521S1
0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,100604S1
0,0,0,0,0,0,0,0,0,1,0,5,0,4,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,100618S1
0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,100630S1
0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,94,74,0,0,0,0,0,0,0,0,0,0,0,0,100716S1
0,0,0,0,0,0,1,0,0,0,0,1,0,54,0,9,500,0,0,0,0,0,0,0,0,0,0,0,0,100729S1
0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.4,0,2.2,405.6,0,0,0,0,0,0,0,0,0,0,0,0,100813S1
0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,62,110,0,0,0,0,0,0,0,0,0,0,0,0,100831S1
1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100507B1
0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100521B1
0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100604B1
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,100618B1
0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,100630B1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0,0,100716B1
0,0,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100729B1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,100813B1
0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,100604R1
0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,50.7,0,0,0,0,0,0,0,0,0,0,0,100618R1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,87,0,0,0,0,0,0,0,0,0,0,0,100630R1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,100716R1
0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,100729R1
0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,33.6,0,0,0,0,0,0,0,0,0,0,0,0,100813R1
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100831R1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100507D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100521D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,100604D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,100618D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,100630D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,100716D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,100729D1
0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,100813D1
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,100831D1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,100507O1
0,0,0,0,0,0,0,0,0,0,1,0,16,0,77,2,14,0,0,0,0,0,0,0,0,0,0,0,0,100521O1
0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,100604O1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,100618O1
0,0,0,0,0,0,0,0,0,0,3.7,1.9,9.4,0,0,11.2,0,185.5,0,0,0,0,0,0,0,0,0,0,0,100630O1
0,0,0,0,0,0,0,0,5.2,0,7.8,0,0,0,0,13,51.9,0,0,0,0,0,0,0,0,0,0,0,0,100716O1
0,0,0,0,0,0,0,0,0,0,2,6,0,8,0,12,168,0,0,0,0,0,0,0,0,0,0,0,0,100729O1
0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,30,1530,0,0,0,0,0,0,0,0,0,0,0,0,100813O1
0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,4.6,2846.7,0,0,0,0,0,0,0,0,0,0,0,0,100831O1
0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,73,6,1,17,0,0,0,0,0,0,0,0,0,0,220525O1
0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,57,16,29,21,0,0,0,0,0,0,0,0,0,0,220525O2
0,0.2,0,0.2,0.2,0,0,0.2,0,0,3,2.4,0.4,0.2,0,13.6,3,0.2,0,0,0,0,0,0,0,0,0,0,0,220610O1
0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,220610B1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,220610B2
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,85,0,0,1,0,0,0,0,0,0,0,0,220610D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,76,0,0,0,0,0,0,0,0,0,0,0,220610D2
0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,77,4,49,0,0,0,0,0,0,0,0,0,0,0,220610S1
0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,72,0,0,0,2,3,0,0,0,0,0,0,220610R1
0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,15,20,1,0,0,0,0,0,0,0,0,0,0,0,220624O1
0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,41,19,0,0,0,0,0,0,0,0,0,0,0,0,220624O2
0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.2,0.8,0,1.8,0,0,0,0,0,0,0,0,0,0,0,220624B1
0,0.8,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,100.6,0,0,0,0,0,0.8,0,0,0,0,0,220624B2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,220624D1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,220624D2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,220624S1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,220624S2
0,2,1,0,0,0,0,0,0,0,5,0,0,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,220624R1
0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,220624R2
0,3,0,0,1,0,0,0,0,0,3,19,0,3,0,6,22,2,0,0,0,0,0,0,0,0,0,0,0,220711O1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,220711B1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43,0,0,0,0,0,0,0,0,0,1,0,220711B2
1,3,0,28,3,0,0,0,0,0,9,1,0,0,0,27,0,54,0,0,0,0,0,0,1,0,0,0,0,220711D1
0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,220711D2
0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,220711S1
0,14,1,22,0,0,0,0,0,0,13,5,0,5,0,10,4,267,0,0,3,0,0,0,0,2,0,0,0,220711R1
2,0,0,5,2,0,0,0,0,0,1,0,0,1,0,21,0,192,0,0,4,0,0,0,0,0,1,0,0,220711R2
0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,41,57,0,0,0,0,0,0,0,0,0,0,0,220719O1
0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,220719O2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,220719B1
0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,220719B2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,16,0,0,0,0,0,0,0,0,0,0,0,220719D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,220719D2
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,220719S1
0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,220719S2
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,220719R1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,220719R2
0,3,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1152,0,0,0,0,0,0,0,0,0,0,0,1,220808O1
0,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1532,0,0,0,0,0,0,0,0,0,0,0,0,220808O2
0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,13,10,91,4,0,3,0,0,0,0,0,0,0,0,220808B1
0,2,1,1,0,0,0,0,0,0,0,0,2,8,0,1,0,370,0,0,0,0,0,1,0,0,0,0,0,220808B2
0,1,0,0,1,0,0,0,0,0,3,1,0,2,0,1,52,0,0,0,2,0,0,0,0,0,0,0,0,220808D1
0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,220808D2
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220808S2
4,6,2,0,0,0,0,0,0,0,3,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,220808R1
0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,220808R2
0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,6,1948,0,0,0,0,0,26,0,0,0,0,0,0,220823O1
0,0,94,0,0,0,0,0,0,0,0,0,0,9,0,0,1281,0,0,0,1,0,1,0,0,0,0,0,0,220823O2
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,220823B1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,220823B2
1,1,0,0,3,0,0,0,0,0,2,0,0,6,0,3,1495,0,0,0,0,0,0,0,0,0,0,0,0,220823D1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,458,0,0,0,0,0,0,0,0,0,0,0,0,220823D2
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,71,0,0,0,0,0,237,0,0,0,0,0,0,220823S1
0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,2,323,0,0,0,0,0,2161,0,0,0,0,0,0,220823S2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,220823R1
0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,220823R2
